"","nroInvent","idPlot","nroTree","bal","idSet","sp","ht","hcb","hlcw","taped_faces","status","rc1","rc2","rc3","rc4","damage","dbh1","dbh2","dbh","expan","Observaciones","cl","cr","slender","expan_type","factor_slope","expan2","ba","ba.ha"
"5820","-1","02619104",22,19.0779377188414,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,15.960750878386,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0200076701713571,0.636863921504749
"5821","-1","02619104",23,12.3393898054559,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,20.5370032941516,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0331256208659244,1.05442126075998
"5822","-1","02619104",24,21.9109944403234,"ibero.pt","026",NA,NA,NA,NA,"5",NA,NA,NA,NA,"0",NA,NA,13.6554587101662,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0146454414926172,0.466178881462635
"5823","-1","02619104",25,20.3070766973775,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,22.7294798881819,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0405759668809788,0.574032506652517
"5824","-1","02619104",26,19.7148016403462,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,23.0878225765914,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0418654567816648,0.592275057031295
"6307","-1","02642105",1,22.7985885182828,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,26.8770148052038,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0567351153854868,0.802637694265713
"6308","-1","02642105",2,21.9880916479562,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,27.0082799025398,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0572906478054499,0.810496870326595
"6309","-1","02642105",3,25.8712421493215,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,24.9750723330467,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0489895432968709,0.693060264489905
"6310","-1","02642105",4,20.3597089797369,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,27.10882676704,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0577180069315425,0.81654276520598
"6311","-1","02642105",5,25.1439151863545,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,25.5850398997218,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0514117134813399,0.727326962967065
"6312","-1","02642105",6,23.6012262125485,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,26.5517516020618,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0553702181221707,0.783328347930659
"6313","-1","02642105",7,26.5643024138114,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,24.5619685299424,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0473823092096442,0.670322553406535
"6314","-1","02642105",8,27.234624967218,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,23.652037370225,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0439366554452157,0.621576524180579
"6315","-1","02642105",9,7.81668346050463,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,32.825588882654,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0846281667851546,1.1972436505478
"6316","-1","02642105",10,28.4732504422058,"ibero.pt","026",NA,NA,NA,NA,"5",NA,NA,NA,NA,"0",NA,NA,15.5721361990274,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.019045232046378,0.606228564502646
"6317","-1","02642105",11,13.5506577474847,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,20.6981555888871,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0336475289786017,1.07103411195445
"6318","-1","02642105",12,4.12409671528176,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,22.3859721787026,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0393587956373035,1.25282937596412
"6319","-1","02642105",13,17.5288916846113,"ibero.pt","026",NA,NA,NA,NA,"5",NA,NA,NA,NA,"0",NA,NA,19.5950051202416,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.030156479764549,0.959910564155738
"6320","-1","02642105",14,21.1762517449429,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,27.0306476561694,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0573855811919471,0.811839903013306
"6321","-1","02642105",15,5.37692609124588,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,22.1827372136306,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0386473882564923,1.23018457572248
"6322","-1","02642105",16,2.86211699712672,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,22.4675741294431,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0396462621153521,1.26197971815505
"6323","-1","02642105",17,19.4424078875006,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,19.1551673679593,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0288178637249954,0.917301092236328
"6324","-1","02642105",18,11.3705439239546,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,31.4642585731763,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0777543842125655,1.09999951951078
"6325","-1","02642105",19,24.3845545604792,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,26.1423901601934,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0536760396826922,0.759360625875306
"6326","-1","02642105",20,0,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,36.7946391486907,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.106330774572664,1.50427274453596
"6327","-1","02642105",21,16.5670126487271,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,29.4226295951905,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0679912225374565,0.961879035884203
"6328","-1","02642105",22,1.50427274453596,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,34.9579723000588,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0959803543948104,1.35784425259076
"6329","-1","02642105",23,9.01392711105242,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,32.6929201979961,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.083945478719392,1.1875855900806
"6330","-1","02642105",24,6.60711066696836,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,32.9941739430257,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0854996625485012,1.20957279353626
"6331","-1","02642105",25,29.0794790067085,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,23.1220387480456,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0419896380124863,0.594031862073471
"6332","-1","02642105",26,10.201512701133,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,21.624349449836,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.036726199014333,1.16903122282156
"6333","-1","02642105",27,12.4705434434654,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,31.1785643289964,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0763487811572463,1.0801143040193
"6334","-1","02642105",28,14.6216918594391,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,29.6777930716072,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0691756241190527,0.978634890667927
"6335","-1","02642105",29,15.600326750107,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,29.4960558169745,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0683309996422582,0.966685898620082
"6336","-1","02642105",30,18.4888022487671,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,29.2958200919545,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.067406410554008,0.953605638733518
"6337","-1","02642105",31,27.8562014913985,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,23.5657390235604,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0436166201421328,0.617048950807285
"6419","-1","02642108",1,18.5090797612659,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,18.7393887278593,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0275804102492642,0.877911724734553
"6420","-1","02642108",2,29.7327838949702,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,14.2638640146143,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0159795395508021,0.50864454156852
"6421","-1","02642108",3,23.9839105215659,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,25.3254896377663,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0503739008142427,0.712644917102896
"6422","-1","02642108",4,21.7856786130177,"ibero.pt","026",NA,NA,NA,NA,"3",NA,NA,NA,NA,"0",NA,NA,25.8173322111254,14.1471060526129,NA,NA,NA,NA,"ifn",1,14.1471060526129,0.0523495084059972,0.740594047221793
"6423","-1","02642108",5,12.4962594771107,"ibero.pt","026",NA,NA,NA,NA,"4",NA,NA,NA,NA,"0",NA,NA,20.8056768198326,31.8309886183791,NA,NA,NA,NA,"ifn",1,31.8309886183791,0.0339980162979748,1.0821904698283
