ID_Inventario,ID_Parcela,ID_Arbol,especie,factor_expansion,dbh_1,dbh_2,dbh,altura_total,area_basimetrica,esbeltez,estado
0,2642105,28,26,14.1471060526,29.8,31.7,30.8,10.5,0.0745060113725355,0.340909090909091,4
0,2642105,29,26,14.1471060526,31.2,30.7,31,11.8,0.0754767635024948,0.380645161290323,4
0,2642105,30,26,14.1471060526,30.9,29.7,30.3,12.6,0.0721066199833563,0.415841584158416,4
0,2642105,31,26,14.1471060526,24.5,24.3,24.4,12.7,0.0467594650560305,0.520491803278688,4
0,2642108,1,26,31.8309886184,19.6,19.2,19.4,8.2,0.0295592452776264,0.422680412371134,4
0,2642108,2,26,31.8309886184,15.1,14.9,15,7.4,0.0176714586764426,0.493333333333333,4
0,2642108,3,26,14.1471060526,25.2,26.4,25.8,9.9,0.0522792433483877,0.383720930232558,4
0,2642108,4,26,14.1471060526,26.4,26.4,26.4,10.1,0.0547391103961486,0.382575757575758,3
0,2642108,5,26,31.8309886184,21.3,21.4,21.4,8.8,0.0359680942909495,0.411214953271028,4
0,2642108,6,26,14.1471060526,24.9,24.9,24.9,8.7,0.0486954715288052,0.349397590361446,4
0,2642108,7,26,31.8309886184,21,20.3,20.7,9.3,0.0336535259034173,0.449275362318841,4
0,2642108,8,26,31.8309886184,22.2,21.6,21.9,8.7,0.037668481314705,0.397260273972603,4
0,2642108,9,26,31.8309886184,20.1,19.7,19.9,9.6,0.0311025526687023,0.482412060301508,4
0,2642108,10,26,31.8309886184,13.2,13.5,13.4,7.7,0.0141026094219646,0.574626865671642,4
0,2642108,11,26,31.8309886184,21.5,22.1,21.8,9.3,0.0373252623173003,0.426605504587156,3
0,2642108,12,26,31.8309886184,16.1,15.6,15.9,8,0.0198556509688509,0.50314465408805,4
0,2642108,13,26,31.8309886184,12.5,13.4,13,7.2,0.0132732289614169,0.553846153846154,4
0,2642108,14,26,31.8309886184,15.6,15.3,15.5,7.7,0.0188691908756237,0.496774193548387,4
0,2642108,15,26,31.8309886184,15.1,15.3,15.2,8.4,0.0181458391671346,0.552631578947368,4
0,2642108,16,26,31.8309886184,12.7,13.4,13.1,7.6,0.0134782178820636,0.580152671755725,4
0,2642108,17,26,31.8309886184,19.2,20.6,19.9,9,0.0311025526687023,0.452261306532663,4
0,2642108,18,26,31.8309886184,17.2,17.1,17.2,10.1,0.0232352192659501,0.587209302325581,3
0,2642108,19,26,14.1471060526,22.9,23.2,23.1,9.5,0.0419096313970512,0.411255411255411,4
0,2642108,20,26,31.8309886184,18.4,18.9,18.7,9.7,0.0274645883758454,0.518716577540107,4
0,2642108,21,26,14.1471060526,25.4,24.7,25.1,11.4,0.0494808696922026,0.454183266932271,3
0,2642108,22,26,14.1471060526,25.5,24.9,25.2,10.1,0.0498759249683916,0.400793650793651,4
0,2642108,23,26,14.1471060526,26.3,25.3,25.8,10.9,0.0522792433483877,0.422480620155039,4
0,2642108,24,26,31.8309886184,14.7,14.1,14.4,8.7,0.0162860163162095,0.604166666666667,4
0,2642108,25,26,14.1471060526,23.3,21.7,22.5,8.9,0.0397607820219958,0.395555555555556,5
0,2642108,26,26,31.8309886184,22.2,21.8,22,10.5,0.0380132711084365,0.477272727272727,3
0,2642108,27,26,31.8309886184,21.7,21.4,21.6,9.2,0.0366435367114714,0.425925925925926,4
0,2642108,28,26,31.8309886184,18.1,19.4,18.8,9.2,0.0277591126871194,0.48936170212766,4
0,2642108,29,26,31.8309886184,14.4,14.8,14.6,7.5,0.01674154725098,0.513698630136986,5
0,2642108,30,26,31.8309886184,19.6,20.1,19.9,8.2,0.0311025526687023,0.412060301507538,5
0,2642108,31,26,14.1471060526,23.3,23.9,23.6,8.7,0.0437435361085843,0.36864406779661,4
0,2642108,32,26,14.1471060526,23.2,22.9,23.1,8.9,0.0419096313970512,0.385281385281385,4
0,2642108,33,26,14.1471060526,32.1,30.5,31.3,12.2,0.0769446726698846,0.389776357827476,3
